rcsb_id,lig_3letter,lig_name,smiles
3EB1,LZQ,"4-[3-(dibenzylamino)phenyl]-2,4-dioxobutanoic acid",c1ccc(cc1)CN(Cc2ccccc2)c3cccc(c3)C(=O)CC(=O)C(=O)O
3EFL,706,"N-(3,3-dimethyl-2,3-dihydro-1H-indol-6-yl)-2-[(pyridin-4-ylmethyl)amino]pyridine-3-carboxamide",CC1(CNc2c1ccc(c2)NC(=O)c3cccnc3NCc4ccncc4)C
3EJR,HN4,"1-(4-tert-butylphenyl)-2-[(1S,2R,5R,8R,8aR)-1,2,8-trihydroxyoctahydroindolizin-5-yl]ethanone",CC(C)(C)c1ccc(cc1)C(=O)CC2CCC(C3N2CC(C3O)O)O
3EJS,HN5,"(1S,2R,5S,8R,8aR)-5-[2-(4-tert-butylphenyl)ethyl]octahydroindolizine-1,2,8-triol",CC(C)(C)c1ccc(cc1)CCC2CCC(C3N2CC(C3O)O)O
3EJT,HN6,"(1S,2R,5R,8R,8aR)-5-[2-(4-tert-butylphenyl)ethyl]octahydroindolizine-1,2,8-triol",CC(C)(C)c1ccc(cc1)CCC2CCC(C3N2CC(C3O)O)O
3EJU,HN7,"1-(4-tert-butylphenyl)-2-[(1S,2R,5S,8R,8aR)-1,2,8-trihydroxyoctahydroindolizin-5-yl]ethanone",CC(C)(C)c1ccc(cc1)C(=O)CC2CCC(C3N2CC(C3O)O)O
3EMZ,HXH,"(1S,2S,3R,6R)-6-[(4-phenoxybenzyl)amino]cyclohex-4-ene-1,2,3-triol",c1ccc(cc1)Oc2ccc(cc2)CNC3C=CC(C(C3O)O)O
3EN6,KS5,"1-(1-methylethyl)-3-quinolin-6-yl-1H-pyrazolo[3,4-d]pyrimidin-4-amine",CC(C)n1c2c(c(n1)c3ccc4c(c3)cccn4)c(ncn2)N
3EOS,PK2,"6-amino-4-{2-[(cyclohexylmethyl)amino]ethyl}-2-(methylamino)-1,7-dihydro-8H-imidazo[4,5-g]quinazolin-8-one",CNc1[nH]c2cc3c(c(c2n1)CCNCC4CCCCC4)N=C(NC3=O)N
3ET1,ET1,3-{5-methoxy-1-[(4-methoxyphenyl)sulfonyl]-1H-indol-3-yl}propanoic acid,COc1ccc(cc1)S(=O)(=O)n2cc(c3c2ccc(c3)OC)CCC(=O)O
3EXO,5MS,N-{2-methyl-5-[(6-phenylpyrimidin-4-yl)amino]phenyl}methanesulfonamide,Cc1ccc(cc1NS(=O)(=O)C)Nc2cc(ncn2)c3ccccc3
3F3Z,DRK,"3-({[(3S)-3,4-dihydroxybutyl]oxy}amino)-1H,2'H-2,3'-biindol-2'-one",c1ccc2c(c1)c(c([nH]2)C3=C4C=CC=CC4=NC3=O)NOCCC(CO)O
3F6X,IHH,[4-({4-[(5-cyclopropyl-1H-pyrazol-3-yl)amino]quinazolin-2-yl}amino)phenyl]acetonitrile,c1ccc2c(c1)c(nc(n2)Nc3ccc(cc3)CC#N)Nc4cc([nH]n4)C5CC5
3FCF,FCF,"3-[(1E,7E)-8-(2,6-dioxo-1,2,3,6-tetrahydropyrimidin-4-yl)-3,6-dioxa-2,7-diazaocta-1,7-dien-1-yl]benzoic acid",c1cc(cc(c1)C(=O)O)C=NOCCON=CC2=CC(=O)NC(=O)N2
3FCI,3FI,"3-{(E)-[(3-{[(2,6-dioxo-1,2,3,6-tetrahydropyrimidin-4-yl)methyl]amino}propoxy)imino]methyl}benzoic acid",c1cc(cc(c1)C(=O)O)C=NOCCCNCC2=CC(=O)NC(=O)N2
3FCK,FCK,"3-({[3-({[(1E)-(2,6-dioxo-1,2,3,6-tetrahydropyrimidin-4-yl)methylidene]amino}oxy)propyl]amino}methyl)benzoic acid",c1cc(cc(c1)C(=O)O)CNCCCON=CC2=CC(=O)NC(=O)N2
3FHR,P4O,"2-(2-QUINOLIN-3-YLPYRIDIN-4-YL)-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE",c1ccc2c(c1)cc(cn2)c3cc(ccn3)c4cc5c([nH]4)CCNC5=O
3FJL,CJH,(2Z)-2-cyano-N-(3'-ethoxybiphenyl-4-yl)-3-hydroxybut-2-enamide,CCOc1cccc(c1)c2ccc(cc2)NC(=O)C(=C(C)O)C#N
3FLN,3FN,"6-(2,4-difluorophenoxy)-8-methyl-2-(tetrahydro-2H-pyran-4-ylamino)pyrido[2,3-d]pyrimidin-7(8H)-one",CN1c2c(cnc(n2)NC3CCOCC3)C=C(C1=O)Oc4ccc(cc4F)F
3FLY,FLY,"6-(2,4-difluorophenoxy)-8-methyl-2-[(1-methylethyl)amino]pyrido[2,3-d]pyrimidin-7(8H)-one",CC(C)Nc1ncc2c(n1)N(C(=O)C(=C2)Oc3ccc(cc3F)F)C
3FLZ,FLZ,"8-methyl-6-phenoxy-2-(tetrahydro-2H-pyran-4-ylamino)pyrido[2,3-d]pyrimidin-7(8H)-one",CN1c2c(cnc(n2)NC3CCOCC3)C=C(C1=O)Oc4ccccc4
3FML,FML,"6-(2,4-difluorophenoxy)-N-[(1S)-1-methyl-2-(methylsulfonyl)ethyl]-1H-pyrazolo[3,4-d]pyrimidin-3-amine",CC(CS(=O)(=O)C)Nc1c2cnc(nc2[nH]n1)Oc3ccc(cc3F)F
3FMM,XI2,"6-(2,4-difluorophenoxy)-N-[(1R)-1-methyl-2-(methylsulfonyl)ethyl]-1H-pyrazolo[3,4-d]pyrimidin-3-amine",CC(CS(=O)(=O)C)Nc1c2cnc(nc2[nH]n1)Oc3ccc(cc3F)F
3FO9,DIK,5-{[4-(5-methyl-3-oxohex-4-en-1-yl)phenyl]amino}-5-oxopentanoic acid,CC(=CC(=O)CCc1ccc(cc1)NC(=O)CCCC(=O)O)C
3FQC,55V,"6-methyl-5-[3-methyl-3-(3,4,5-trimethoxyphenyl)but-1-yn-1-yl]pyrimidine-2,4-diamine",Cc1c(c(nc(n1)N)N)C#CC(C)(C)c2cc(c(c(c2)OC)OC)OC
3FQE,P5C,"2-{[(1R,2S)-2-aminocyclohexyl]amino}-4-[(3-methylphenyl)amino]pyrimidine-5-carboxamide",Cc1cccc(c1)Nc2c(cnc(n2)NC3CCCCC3N)C(=O)N
3FQH,057,"N-(2-hydroxy-1,1-dimethylethyl)-1-methyl-3-(1H-pyrrolo[2,3-b]pyridin-2-yl)-1H-indole-5-carboxamide",CC(C)(CO)NC(=O)c1ccc2c(c1)c(cn2C)c3cc4cccnc4[nH]3
3FR2,8CA,"9-benzyl-2,3,4,9-tetrahydro-1H-carbazole-8-carboxylic acid",c1ccc(cc1)Cn2c3c(c4c2c(ccc4)C(=O)O)CCCC3
3FR4,F8A,"9-[2-(trifluoromethyl)benzyl]-2,3,4,9-tetrahydro-1H-carbazole-8-carboxylic acid",c1ccc(c(c1)Cn2c3c(c4c2c(ccc4)C(=O)O)CCCC3)C(F)(F)F
3FR5,I4A,"5-(3-carbamoylbenzyl)-5,6,7,8,9,10-hexahydrocyclohepta[b]indole-4-carboxylic acid",c1cc(cc(c1)C(=O)N)Cn2c3c(c4c2c(ccc4)C(=O)O)CCCCC3
3FRA,I2H,"5-{[(2S)-2-cyclopropyl-7,8-dimethoxy-2H-chromen-5-yl]methyl}pyrimidine-2,4-diamine",COc1cc(c2c(c1OC)OC(C=C2)C3CC3)Cc4cnc(nc4N)N
3FRF,XCF,"5-[[(2R)-2-cyclopropyl-7,8-dimethoxy-2H-chromen-5-yl]methyl]pyrimidine-2,4-diamine",COc1cc(c2c(c1OC)OC(C=C2)C3CC3)Cc4cnc(nc4N)N
3FRZ,AG6,N-[(benzyloxy)carbonyl]-L-alpha-glutamyl-N-[(1S)-4-oxo-4-phenyl-1-propylbut-2-en-1-yl]-L-phenylalaninamide,CCCC(C=CC(=O)c1ccccc1)NC(=O)C(Cc2ccccc2)NC(=O)C(CCC(=O)O)NC(=O)OCc3ccccc3
3FSK,RO6,"3-(2-chlorophenyl)-7-[(trans-4-hydroxycyclohexyl)amino]-3,4-dihydropyrimido[4,5-d]pyrimidin-2(1H)-one",c1ccc(c(c1)N2Cc3cnc(nc3NC2=O)NC4CCC(CC4)O)Cl
3FV5,1EU,1-(4-acetyl-6-pyridin-3-yl-1H-benzimidazol-2-yl)-3-ethylurea,CCNC(=O)Nc1[nH]c2cc(cc(c2n1)C(=O)C)c3cccnc3
3FW9,SLX,"(13aS)-3,10-dimethoxy-5,8,13,13a-tetrahydro-6H-isoquino[3,2-a]isoquinoline-2,9-diol",COc1ccc2c(c1O)CN3CCc4cc(c(cc4C3C2)O)OC
3FXW,F10,"2-[2-(2-FLUOROPHENYL)PYRIDIN-4-YL]-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE",c1ccc(c(c1)c2cc(ccn2)c3cc4c([nH]3)CCNC4=O)F
3G0D,XIH,"2-({8-[(3R)-3-AMINOPIPERIDIN-1-YL]-1,3-DIMETHYL-2,6-DIOXO-1,2,3,6-TETRAHYDRO-7H-PURIN-7-YL}METHYL)BENZONITRILE",CN1c2c(n(c(n2)N3CCCC(C3)N)Cc4ccccc4C#N)C(=O)N(C1=O)C
3G0G,RUM,2-({2-[(3R)-3-aminopiperidin-1-yl]-5-bromo-6-oxopyrimidin-1(6H)-yl}methyl)benzonitrile,c1ccc(c(c1)CN2C(=O)C(=CN=C2N3CCCC(C3)N)Br)C#N
3G0U,MDY,(2Z)-N-(3-chloro-2'-methoxybiphenyl-4-yl)-2-cyano-3-hydroxybut-2-enamide,CC(=C(C#N)C(=O)Nc1ccc(cc1Cl)c2ccccc2OC)O
3G0W,LGB,"2-chloro-4-{[(1R,3Z,7S,7aS)-7-hydroxy-1-(trifluoromethyl)tetrahydro-1H-pyrrolo[1,2-c][1,3]oxazol-3-ylidene]amino}-3-met
hylbenzonitrile",Cc1c(ccc(c1Cl)C#N)N=C2N3CCC(C3C(O2)C(F)(F)F)O
3G0X,MD7,(2Z)-N-biphenyl-4-yl-2-cyano-3-cyclopropyl-3-hydroxyprop-2-enamide,c1ccc(cc1)c2ccc(cc2)NC(=O)C(=C(C3CC3)O)C#N
3G1M,RF3,"1-(thiophen-2-ylacetyl)-4-(3-thiophen-2-yl-1,2,4-oxadiazol-5-yl)piperidine",c1cc(sc1)CC(=O)N2CCC(CC2)c3nc(no3)c4cccs4
3G1O,RF1,"tert-butyl 4-(3-thiophen-2-yl-1,2,4-oxadiazol-5-yl)piperidine-1-carboxylate",CC(C)(C)OC(=O)N1CCC(CC1)c2nc(no2)c3cccs3
3G5E,Q74,"2-(3-((4,5,7-trifluorobenzo[d]thiazol-2-yl)methyl)-1H-pyrrolo[2,3-b]pyridin-1-yl)acetic acid",c1cc2c(cn(c2nc1)CC(=O)O)Cc3nc4c(c(cc(c4s3)F)F)F
3G8O,30X,"N~2~-[4-cyano-3-(trifluoromethyl)phenyl]-N,N-dimethyl-N~2~-(2,2,2-trifluoroethyl)-L-alaninamide",CC(C(=O)N(C)C)N(CC(F)(F)F)c1ccc(c(c1)C(F)(F)F)C#N
3GB2,G3B,"2-methyl-5-(3-{4-[(S)-methylsulfinyl]phenyl}-1-benzofuran-5-yl)-1,3,4-oxadiazole",Cc1nnc(o1)c2ccc3c(c2)c(co3)c4ccc(cc4)S(=O)C
3GE7,AFQ,"6-amino-4-{2-[(cyclopentylmethyl)amino]ethyl}-2-(methylamino)-1,7-dihydro-8H-imidazo[4,5-g]quinazolin-8-one",CNc1[nH]c2cc3c(c(c2n1)CCNCC4CCCC4)N=C(NC3=O)N
3GSY,DEH,"2,9-dihydroxy-3,10-dimethoxy-5,6-dihydroisoquino[3,2-a]isoquinolinium",COc1ccc2cc-3[n+](cc2c1O)CCc4c3cc(c(c4)OC)O
3GXL,QIG,N-1H-indazol-5-yl-2-(6-methylpyridin-2-yl)quinazolin-4-amine,Cc1cccc(n1)c2nc3ccccc3c(n2)Nc4ccc5c(c4)cn[nH]5
3GY3,PNT,"1,5-BIS(4-AMIDINOPHENOXY)PENTANE",c1cc(ccc1C(=N)N)OCCCCCOc2ccc(cc2)C(=N)N
3H0S,B38,"1'-(1H-indazol-7-ylcarbonyl)-6-methylspiro[chromene-2,4'-piperidin]-4(3H)-one",Cc1ccc2c(c1)C(=O)CC3(O2)CCN(CC3)C(=O)c4cccc5c4[nH]nc5
3H9O,9BD,"2-(1H-imidazol-1-yl)-9-methoxy-8-(2-methoxyethoxy)benzo[c][2,7]naphthyridin-4-amine",COCCOc1cc2c(cc1OC)c3cc(nc(c3cn2)N)n4ccnc4
3HAC,361,"(7R,8R)-8-(2,4,5-trifluorophenyl)-6,7,8,9-tetrahydroimidazo[1,2-a:4,5-c']dipyridin-7-amine",c1cncc2c1n3c(n2)CC(C(C3)N)c4cc(c(cc4F)F)F
3HHA,NOW,Nalpha-[(3-tert-butyl-1-methyl-1H-pyrazol-5-yl)carbonyl]-N-[(2Z)-2-iminoethyl]-3-methyl-L-phenylalaninamide,[H]N=CCNC(=O)C(Cc1cccc(c1)C)NC(=O)c2cc(nn2C)C(C)(C)C
3HK1,B64,4-{[2-(methoxycarbonyl)-5-(2-thienyl)-3-thienyl]amino}-4-oxo-2-butenoic acid,COC(=O)c1c(cc(s1)c2cccs2)NC(=O)C=CC(=O)O
3HL7,I47,2-{4-[5-(4-chlorophenyl)-4-pyrimidin-4-yl-1H-pyrazol-3-yl]piperidin-1-yl}-2-oxoethanol,c1cc(ccc1c2c(c(n[nH]2)C3CCN(CC3)C(=O)CO)c4ccncn4)Cl
3HLE,MJA,"(3R,5R)-3,5-dihydroxy-7-[(1S,2S,6R,8S,8aR)-8-hydroxy-2,6-dimethyl-1,2,6,7,8,8a-hexahydronaphthalen-1-yl]heptanoic acid",CC1CC(C2C(C(C=CC2=C1)C)CCC(CC(CC(=O)O)O)O)O
3HMM,855,2-(6-methylpyridin-2-yl)-N-pyridin-4-ylquinazolin-4-amine,Cc1cccc(n1)c2nc3ccccc3c(n2)Nc4ccncc4
3HUC,G97,N-[2-phenyl-4-(1H-pyrazol-3-ylamino)quinazolin-7-yl]prop-2-enamide,C=CC(=O)Nc1ccc2c(c1)nc(nc2Nc3cc[nH]n3)c4ccccc4
3HZ5,Z64,N-[4-(5-furan-2-yl-3-methyl-1H-pyrazol-4-yl)butyl]-N-methyl-7H-purin-6-amine,Cc1c(c([nH]n1)c2ccco2)CCCCN(C)c3c4c(nc[nH]4)ncn3
3I06,QL2,"6-[(3,5-difluorophenyl)amino]-9-ethyl-9H-purine-2-carbonitrile",CCn1cnc2c1nc(nc2Nc3cc(cc(c3)F)F)C#N
3I7B,BK1,"1-(1-methylethyl)-3-(naphthalen-1-ylmethyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine",CC(C)n1c2c(c(n1)Cc3cccc4c3cccc4)c(ncn2)N
3IG7,EFP,N-{1-[cis-3-(acetylamino)cyclobutyl]-1H-imidazol-4-yl}-2-(4-methoxyphenyl)acetamide,CC(=O)NC1CC(C1)n2cc(nc2)NC(=O)Cc3ccc(cc3)OC
3IKD,J9Z,(2R)-2-[(1-benzothiophen-2-ylcarbonyl)amino]-3-phenylpropyl phosphate,c1ccc(cc1)CC(COP(=O)([O-])[O-])NC(=O)c2cc3ccccc3s2
3IN3,472,"(5S)-2-amino-3-methyl-5-pyridin-4-yl-5-(3-pyridin-3-ylphenyl)-3,5-dihydro-4H-imidazol-4-one",CN1C(=O)C(N=C1N)(c2ccncc2)c3cccc(c3)c4cccnc4
3INJ,BXB,"N-(1,3-benzodioxol-5-ylmethyl)-2,6-dichlorobenzamide",c1cc(c(c(c1)Cl)C(=O)NCc2ccc3c(c2)OCO3)Cl
3INV,C50,"1-[3-(2,3-dichlorophenoxy)propoxy]-6,6-dimethyl-1,6-dihydro-1,3,5-triazine-2,4-diamine",CC1(N=C(N=C(N1OCCCOc2cccc(c2Cl)Cl)N)N)C
3IOK,1P6,"3-(6-{[(1S)-1-(4-fluorophenyl)ethyl]amino}pyrimidin-4-yl)pyrazolo[1,5-a]pyrimidin-2-amine",CC(c1ccc(cc1)F)Nc2cc(ncn2)c3c(nn4c3nccc4)N
3IPH,G11,6-[5-(cyclopropylcarbamoyl)-2-methylphenyl]-N-(cyclopropylmethyl)pyridine-3-carboxamide,Cc1ccc(cc1c2ccc(cn2)C(=O)NCC3CC3)C(=O)NC4CC4
3IW6,PP0,"ethyl 4-[(4-benzylpiperazin-1-yl)carbonyl]-1-ethyl-3,5-dimethyl-1H-pyrrole-2-carboxylate",CCn1c(c(c(c1C(=O)OCC)C)C(=O)N2CCN(CC2)Cc3ccccc3)C
3JTK,X55,"(2R)-3-benzyl-2-(2-bromo-4-hydroxy-5-methoxyphenyl)-1,3-thiazolidin-4-one",COc1cc(c(cc1O)Br)C2N(C(=O)CS2)Cc3ccccc3
3JUM,AOD,"5-bromo-2-{[(1S,3R)-3-carboxycyclohexyl]amino}benzoic acid",c1cc(c(cc1Br)C(=O)O)NC2CCCC(C2)C(=O)O
3JVX,EKB,"6-ethyl-5-[3-(3,4,5-trimethoxyphenyl)prop-1-yn-1-yl]pyrimidine-2,4-diamine",CCc1c(c(nc(n1)N)N)C#CCc2cc(c(c(c2)OC)OC)OC
3JWK,5WB,"5-[(3S)-3-methoxy-3-(3,4,5-trimethoxyphenyl)prop-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",Cc1c(c(nc(n1)N)N)C#CC(c2cc(c(c(c2)OC)OC)OC)OC
3JY0,LYG,"8-chloro-2-{[(3S)-3-hydroxypyrrolidin-1-yl]methyl}[1]benzothieno[3,2-d]pyrimidin-4(3H)-one",c1cc2c(cc1Cl)c3c(s2)C(=O)NC(=N3)CN4CCC(C4)O
3JY9,JZH,"(3S)-3-(4-hydroxyphenyl)-1,5-dihydro-1,5,12-triazabenzo[4,5]cycloocta[1,2,3-cd]inden-4(3H)-one",c1ccc2c(c1)-c3ccnc4c3c(c[nH]4)C(C(=O)N2)c5ccc(cc5)O
3K3B,L31,"3-[(1R)-2-acetyl-6-methyl-2,3,4,9-tetrahydro-1H-beta-carbolin-1-yl]phenol",Cc1ccc2c(c1)c3c([nH]2)C(N(CC3)C(=O)C)c4cccc(c4)O
3K5V,STJ,3-(6-{[4-(trifluoromethoxy)phenyl]amino}pyrimidin-4-yl)benzamide,c1cc(cc(c1)C(=O)N)c2cc(ncn2)Nc3ccc(cc3)OC(F)(F)F
3K7F,F2C,"6-[2-(7-phenylheptanoyl)-1,3-oxazol-5-yl]pyridine-2-carboxylic acid",c1ccc(cc1)CCCCCCC(=O)c2ncc(o2)c3cccc(n3)C(=O)O
3K83,F27,"6-[2-(3-biphenyl-4-ylpropanoyl)-1,3-oxazol-5-yl]pyridine-2-carboxylic acid",c1ccc(cc1)c2ccc(cc2)CCC(=O)c3ncc(o3)c4cccc(n4)C(=O)O
3K8X,B89,(5S)-2-[(1E)-N-{[(2E)-3-chloroprop-2-en-1-yl]oxy}propanimidoyl]-3-hydroxy-5-(tetrahydro-2H-pyran-4-yl)cyclohex-2-en-1-one,CCC(=NOCC=CCl)C1=C(CC(CC1=O)C2CCOCC2)O
3K97,4CD,"4-chloro-6-{[(2R)-2-(2-methylphenyl)pyrrolidin-1-yl]carbonyl}benzene-1,3-diol",Cc1ccccc1C2CCCN2C(=O)c3cc(c(cc3O)O)Cl
3K98,1RC,"(1R)-2-[(5-chloro-2,4-dihydroxyphenyl)carbonyl]-N-ethyl-2,3-dihydro-1H-isoindole-1-carboxamide",CCNC(=O)C1c2ccccc2CN1C(=O)c3cc(c(cc3O)O)Cl
3KAD,4C0,3-(1H-benzimidazol-2-yl)-N-(3-phenylpropanoyl)-D-alanine,c1ccc(cc1)CCC(=O)NC(Cc2[nH]c3ccccc3n2)C(=O)O
3KAF,4D9,3-(1H-benzimidazol-2-yl)-N-(1-benzothiophen-2-ylcarbonyl)-D-alanine,c1ccc2c(c1)cc(s2)C(=O)NC(Cc3[nH]c4ccccc4n3)C(=O)O
3KAG,4D7,3-(1H-benzimidazol-2-yl)-N-[(2-methylfuran-3-yl)carbonyl]-D-alanine,Cc1c(cco1)C(=O)NC(Cc2[nH]c3ccccc3n2)C(=O)O
3KAH,4DH,3-(1H-benzimidazol-2-yl)-N-[(1-methyl-3-phenyl-1H-pyrazol-5-yl)carbonyl]-D-alanine,Cn1c(cc(n1)c2ccccc2)C(=O)NC(Cc3[nH]c4ccccc4n3)C(=O)O
3KAI,4FI,(2R)-2-[(2-methyl-5-phenyl-pyrazol-3-yl)carbonylamino]-3-naphthalen-2-yl-propanoic acid,Cn1c(cc(n1)c2ccccc2)C(=O)NC(Cc3ccc4ccccc4c3)C(=O)O
3KCK,3KC,"3-chloro-4-(4H-3,4,7-triazadibenzo[cd,f]azulen-6-yl)phenol",c1ccc2c(c1)-c3ccnc4c3c(c[nH]4)C(=N2)c5ccc(cc5Cl)O
3KI6,G9L,"8-fluoro-2-(3-piperidin-1-ylpropanoyl)-1,3,4,5-tetrahydrobenzo[c][1,6]naphthyridin-6(2H)-one",c1cc2c(cc1F)C(=O)NC3=C2CN(CC3)C(=O)CCN4CCCCC4
3KI7,G9I,"2-{2-[4-(pyrrolidin-1-ylmethyl)phenyl]ethyl}-5,6-dihydroimidazo[4,5,1-jk][1,4]benzodiazepin-7(4H)-one",c1cc2c3c(c1)nc(n3CCNC2=O)CCc4ccc(cc4)CN5CCCC5
3KKT,0CP,"5-{3-[(1S,2S,4R)-bicyclo[2.2.1]hept-2-yloxy]-4-methoxyphenyl}tetrahydropyrimidin-2(1H)-one",COc1ccc(cc1OC2CC3CCC2C3)C4CNC(=O)NC4
3KN0,3TO,3-[2-(3-{[(furan-2-ylmethyl)(methyl)amino]methyl}phenyl)ethyl]pyridin-2-amine,CN(Cc1cccc(c1)CCc2cccnc2N)Cc3ccco3
3KRJ,KRJ,4-cyano-N-(2-cyclohex-1-en-1-yl-4-piperidin-4-ylphenyl)-1H-imidazole-2-carboxamide,c1cc(c(cc1C2CCNCC2)C3=CCCCC3)NC(=O)c4[nH]cc(n4)C#N
3KRL,KRL,5-cyano-N-[4-(4-methylpiperazin-1-yl)-2-piperidin-1-ylphenyl]furan-2-carboxamide,CN1CCN(CC1)c2ccc(c(c2)N3CCCCC3)NC(=O)c4ccc(o4)C#N
3KVJ,1X5,2-[(cyclopropylcarbonyl)amino]-5-[methyl(pyridin-3-ylmethyl)amino]benzoic acid,CN(Cc1cccnc1)c2ccc(c(c2)C(=O)O)NC(=O)C3CC3
3KVK,6X1,"2-{[(3,5-dichlorophenyl)carbamoyl]amino}benzoic acid",c1ccc(c(c1)C(=O)O)NC(=O)Nc2cc(cc(c2)Cl)Cl
3KVL,7Z5,5-[methyl(pyridin-3-ylmethyl)amino]-2-(propanoylamino)benzoic acid,CCC(=O)Nc1ccc(cc1C(=O)O)N(C)Cc2cccnc2
3KX1,KX1,4-cycloheptyl-6-(3-piperidin-1-ylpropyl)pyrimidine-2-carbonitrile,c1c(nc(nc1C2CCCCCC2)C#N)CCCN3CCCCC3
3L3M,A92,2-{2-fluoro-4-[(2S)-piperidin-2-yl]phenyl}-1H-benzimidazole-7-carboxamide,c1cc(c2c(c1)nc([nH]2)c3ccc(cc3F)C4CCCCN4)C(=O)N
3L3R,OAG,"6-{[(2,5-dichlorophenyl)amino]methyl}pyrido[2,3-d]pyrimidine-2,4-diamine",c1cc(c(cc1Cl)NCc2cc3c(nc(nc3nc2)N)N)Cl
3L54,LXX,"6-(1H-pyrazolo[3,4-b]pyridin-5-yl)-4-pyridin-4-ylquinoline",c1cc2c(cc1c3cc4cn[nH]c4nc3)c(ccn2)c5ccncc5
3L5D,BDV,"1-butyl-3-(4-{[(2Z,4R)-2-imino-4-methyl-4-(2-methylpropyl)-5-oxoimidazolidin-1-yl]methyl}benzyl)urea",CCCCNC(=O)NCc1ccc(cc1)CN2C(=O)C(NC2=N)(C)CC(C)C
3L5T,956,"1-methyl-2-oxo-4-[4-(thiophen-2-ylcarbonyl)piperazin-1-yl]-1,2-dihydroquinoline-3-carbonitrile",CN1c2ccccc2C(=C(C1=O)C#N)N3CCN(CC3)C(=O)c4cccs4
3L8X,N4D,"N,4-dimethyl-3-[(1-phenyl-1H-pyrazolo[3,4-d]pyrimidin-4-yl)amino]benzamide",Cc1ccc(cc1Nc2c3cnn(c3ncn2)c4ccccc4)C(=O)NC
3L9M,L9M,"(2S)-N~1~-[5-(3-methyl-1H-indazol-5-yl)-1,3,4-thiadiazol-2-yl]-3-(4-methylphenyl)propane-1,2-diamine",Cc1ccc(cc1)CC(CNc2nnc(s2)c3ccc4c(c3)c(n[nH]4)C)N
3L9N,L9N,"(2S)-N~1~-[5-(1H-indazol-5-yl)-1,3,4-thiadiazol-2-yl]-3-(4-methylphenyl)propane-1,2-diamine",Cc1ccc(cc1)CC(CNc2nnc(s2)c3ccc4c(c3)cn[nH]4)N
3LE6,2BZ,"5-(2-chlorophenyl)-3-methyl-7-nitropyrazolo[3,4-b][1,4]benzodiazepine",Cc1c-2nc(c3cc(ccc3nc2nn1)[N+](=O)[O-])c4ccccc4Cl
3LHG,Z81,"(5S)-2-amino-5-(2',5'-difluorobiphenyl-3-yl)-3-methyl-5-pyridin-4-yl-3,5-dihydro-4H-imidazol-4-one",CN1C(=O)C(N=C1N)(c2ccncc2)c3cccc(c3)c4cc(ccc4F)F
3LJ6,PIX,4-(3-{[5-(trifluoromethyl)pyridin-2-yl]oxy}benzyl)piperidine-1-carboxylic acid,c1cc(cc(c1)Oc2ccc(cn2)C(F)(F)F)CC3CCN(CC3)C(=O)O
3LN0,52B,"(2S)-6,8-dichloro-2-(trifluoromethyl)-2H-chromene-3-carboxylic acid",c1c(cc(c2c1C=C(C(O2)C(F)(F)F)C(=O)O)Cl)Cl
3LPG,Z78,"3-(2-fluorophenyl)-1-(2-hydroxyethyl)-1-[(6-methyl-2-oxo-1,2-dihydroquinolin-3-yl)methyl]urea",Cc1ccc2c(c1)C=C(C(=O)N2)CN(CCO)C(=O)Nc3ccccc3F
3LS8,AJZ,"3-(4-morpholin-4-ylthieno[3,2-d]pyrimidin-2-yl)phenol",c1cc(cc(c1)O)c2nc3ccsc3c(n2)N4CCOCC4
3M2N,J74,4-{2-[(6-chloro-5-nitropyrimidin-4-yl)amino]ethyl}benzenesulfonamide,c1cc(ccc1CCNc2c(c(ncn2)Cl)[N+](=O)[O-])S(=O)(=O)N
3M2W,L8I,"2'-(2-fluorophenyl)-1-methyl-6',8',9',11'-tetrahydrospiro[azetidine-3,10'-pyrido[3',4':4,5]pyrrolo[2,3-f]isoquinolin]-7'(5'H)-one",CN1CC2(C1)CNC(=O)c3c2[nH]c-4c3CCc5c4cc(nc5)c6ccccc6F
3MPT,1GK,N-(furan-2-ylmethyl)-4-[(2-methylphenyl)carbonyl]-1H-pyrrole-2-carboxamide,Cc1ccccc1C(=O)c2cc([nH]c2)C(=O)NCc3ccco3
3MSK,EV4,4-(2-amino-5-chloro-1H-benzimidazol-1-yl)-N-cyclohexyl-N-methylbutanamide,CN(C1CCCCC1)C(=O)CCCn2c3ccc(cc3nc2N)Cl
3MWU,BK3,"3-(naphthalen-1-ylmethyl)-1-(piperidin-4-ylmethyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine",c1ccc2c(c1)cccc2Cc3c4c(ncnc4n(n3)CC5CCNCC5)N
3N3G,935,(E)-1-(6-{4-[3-(4-methylpiperazin-1-yl)propoxy]-3-(trifluoromethyl)phenyl}pyridin-2-yl)methanimine,CN1CCN(CC1)CCCOc2ccc(cc2C(F)(F)F)c3cccc(n3)C=N
3N62,XFJ,"6,6'-(pyridine-3,5-diyldiethane-2,1-diyl)bis(4-methylpyridin-2-amine)",Cc1cc(nc(c1)N)CCc2cc(cnc2)CCc3cc(cc(n3)N)C
